sentence,label
"Consequently, the rapid unfolding of social unrest resulted in political instability, warranting an urgent need for redefining policy priorities to steer the economy away from further turmoil.",Unclassified
"3
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1Figure 1.1
The Socio-Economic Crisis in 2022, Policy Actions and Outcomes Towards Restoring Stability
Significant tightening of monetary policy
Credible  and
transpare nt policy
measure s preve nted
further worsening of
the crisis and restored
socio-economic
stabilityStabilising the exchange rate
through market guidance 
Supply of forex foressentials 
Strengthening social
safety netsImport restrictions/margindeposit requirements Forex and rupee liquidity management
SOE reformsContinuous financialsector oversightAnnouncement of the debt standstill and
commencing debt restructuring
Substantial fiscal
tighteningNegotiating an IMF-EFF
ArrangementBan on the 
importation of
non-organic fertiliserIncreased mo netary
financingUnsustainable
public debt Falling tax 
revenueIncrea se of glob al
food and energy 
prices Rating downgrades
and limited access to
foreign financing  
Near-zero level of 
usable off icial reserves High inflation
and de-anchored
inflation
expectations Low GDP grow th
over several years
Market
determined
exchange rateDecele rating
inflation and
anchoring
inflation
expecta tionsOfficial
reser ve
build upImproving
primary
balanceDomestic and forex
marke t liquidity
pressures   
  Substantially 
increa sed infl ation
adjusted poverty line
IMF Execut ive
Board
approval for
the EFF in
March 2023Advancing the
debt restruct uring
processImproving
current
accou nt and
trade  balanceDeclining
interest
rate risk 
premia Financial 
sector 
stabili ty
Low earnings from
tourism and wo rkers’ 
remittances Misaligned
exchange rate
Persistent Twin Deficits
External
Current Ac count
Budget
Deficit
BOP
Sovereign
debt crisis Dual crises
+BOP
crisis Heightened social unrest
and political upheaval
Power cuts, fu el and 
gas shortages
Scarcity of
essential items
Positi ve GDP
growth expected
towards late 2023 
FERTILISER
The outcomes of coordinated policy actions have eventuated since late 2022,
and the country managed to transition to a workable equilibrium until the assistance
from the international financial institutions begins to materialise.",Unclassified
(h) Year-on-year growth based on end year values.,Unclassified
"5
ECONOMIC, PRICE AND FINANCIAL SYSTEM STABILITY, OUTLOOK AND POLICIES
1economy.",Unclassified
"Accordingly, investment as a percentage of nominal GDP stood at 34.4 
per cent in 2022, compared to 36.7 per cent in 
the previous year.",Unclassified
"Meanwhile, persistent disruptions to supply 
channels, caused by acute fuel shortages, intermittent power outages, as well as shortages of inputs due to 
import restrictions, hindered the optimal use of labour Table 1.3
Aggregate Demand and Savings-Investment Gap at Current Market Prices (a)(b)
ItemRs.",Unclassified
"Domestic Savings (3-1.1) 5,165.9 7,447.2 22.9 44.2 29.4 30.8
Private 6,456.3 8,987.6 19.9 39.2 36.7 37.2
Public -1,290.4 -1,540.4 -9.3 -19.4 -7.3 -6.4
5.",Unclassified
"Net Primary Income from the Rest of the World (d) -395.5 -621.4 6.5 -57.1 -2.2 -2.6
6.",Unclassified
"Net  Current Transfers from the Rest of the World (d) 1,034.7 1,159.5 -10.1 12.1 5.9 4.8
7.",Unclassified
"National Savings (4+5+6) 5,805.1 7,985.3 17.7 37.6 33.0 33.1
8.",Unclassified
